Date,Month,Year,Total_Revenue,Employee_Salaries,Loan_Payment,Raw_Materials,Utilities,Rent,Marketing,Insurance,Office_Supplies,Maintenance,Taxes,Transfer_Money,Profits,Losses,Total_Expenses,Profit_Margin,Expense_Ratio,Debt_Coverage_Ratio,Employee_Cost_Ratio
1960-01-01,1,1960,520914.02,128625.48,23312.72,91696.32,8567.53,21060.2,33529.62,13141.22,4882.88,8589.39,45779.57,40064.26,141729.09000000003,0.0,379184.93,0.27207770295758216,0.7279222970424178,6.079474638737994,0.2469226687352358
1960-02-01,2,1960,522482.67,152022.37,22903.3,102677.97,8742.63,17038.99,32752.37,15891.63,4760.38,8966.44,56858.2,38039.13,99868.39000000001,0.0,422614.27999999997,0.19114201433704972,0.8088579856629503,4.360436705627574,0.2909615547631465
1960-03-01,3,1960,552124.15,154667.67,27303.46,106891.95,8086.95,22838.69,28906.81,15234.18,5494.11,10355.56,55425.6,40928.23,116919.17000000004,0.0,435204.98,0.2117624632068712,0.7882375367931288,4.28221075277639,0.28013205001085356
1960-04-01,4,1960,459184.74,140522.46,21848.44,91983.73,7042.4,18667.84,31221.16,14391.74,4805.27,9128.52,46504.67,45239.86,73068.51000000001,0.0,386116.23,0.1591266077352658,0.8408733922647342,3.3443353392736515,0.3060259798703241
1960-05-01,5,1960,450670.8,160310.71,22475.52,96383.66,9174.86,20840.0,30512.55,15830.76,5514.28,10828.0,45935.72,34385.2,32864.73999999999,0.0,417806.06,0.07292405010486588,0.9270759498951341,1.4622460347969697,0.35571576858318754
1960-06-01,6,1960,456647.43,169930.94,27822.76,94440.34,8373.05,19373.79,33730.93,14814.83,4647.32,9239.88,50920.52,37152.9,23353.070000000007,0.0,433294.36,0.051140263725999745,0.9488597362740002,0.839351308065771,0.37212722296499073
1960-07-01,7,1960,484910.08,137369.43,28731.53,100285.79,7018.18,17282.7,26486.84,15573.51,5438.12,9766.48,43452.92,38579.43,93504.58000000002,0.0,391405.5,0.19282869929204197,0.8071713007079581,3.2544239725486257,0.28328846040898964
1960-08-01,8,1960,570661.76,166235.09,21336.11,106621.65,8436.1,20221.82,27901.43,15634.33,4417.33,9804.3,49305.86,45445.79,140747.74,0.0,429914.02,0.2466395154986379,0.7533604845013621,6.59669171184438,0.2913023118983827
1960-09-01,9,1960,500087.92,135539.33,28094.71,111115.56,7516.27,20833.7,30980.73,13437.78,5393.77,10118.14,54179.4,40364.24,82878.52999999997,0.0,417209.39,0.165727918402828,0.834272081597172,2.949969229082627,0.2710310019086244
1960-10-01,10,1960,427921.51,169309.44,27840.41,109949.97,7538.03,17347.55,33402.09,17011.27,4378.48,9957.97,43538.19,43127.23,0.0,12351.890000000014,440273.4,0.0,1.028864849537477,0.0,0.39565536212470365
1960-11-01,11,1960,496292.36,152241.16,23237.92,111172.99,7815.53,18270.79,30353.66,16034.69,4551.73,9435.15,57427.24,41798.54,65751.5,0.0,430540.86,0.1324854164589598,0.8675145835410402,2.8294916240351977,0.30675700911454695
1960-12-01,12,1960,443150.63,137611.38,23785.64,102649.26,7352.28,18321.3,26138.94,15589.96,4593.41,11216.26,55394.53,34850.29,40497.669999999984,0.0,402652.96,0.09138578907131416,0.9086142109286859,1.702610062205599,0.31052958223256955
1961-01-01,1,1961,457135.52,133454.03,28266.36,102131.29,7934.41,21707.72,32767.47,13606.84,4395.4,9793.15,48853.68,39604.3,54225.17000000004,0.0,402910.35,0.11861946321738473,0.8813805367826153,1.9183640907424953,0.2919353761877878
1961-02-01,2,1961,572624.78,131928.8,24269.66,95179.08,8868.01,18491.94,27211.88,14768.76,4882.82,9335.64,46247.1,45079.19,191441.09000000003,0.0,381183.69,0.33432204942300964,0.6656779505769904,7.888082898565536,0.23039310314164185
1961-03-01,3,1961,507548.8,129776.47,28744.62,110080.83,9125.59,22558.2,33138.26,13498.4,4978.46,9141.24,48515.6,34703.62,97991.13,0.0,409557.67,0.19306740553814727,0.8069325944618527,3.409025062776965,0.25569259547062273
1961-04-01,4,1961,464780.46,162783.18,24662.56,97690.22,9097.56,22972.54,30501.91,15982.84,4482.2,9390.12,57030.64,40950.16,30186.690000000002,0.0,434593.77,0.06494827687033143,0.9350517231296686,1.2239885072758059,0.3502367117584934
1961-05-01,5,1961,433574.79,153787.99,25021.38,110581.6,7177.84,22764.67,26221.0,13586.21,5142.55,10525.64,46028.06,35438.64,12737.849999999977,0.0,420836.94,0.02937866844149305,0.9706213315585069,0.5090786359505342,0.35469772123974275
1961-06-01,6,1961,514177.87,155372.17,24394.19,102510.17,8054.68,22608.24,27338.33,15972.86,4608.03,9687.36,52575.35,37599.96,91056.48999999999,0.0,423121.38,0.17709142169031894,0.8229085783096811,3.732712174497288,0.30217591822845274
1961-07-01,7,1961,435881.47,148122.85,28738.41,114882.89,6975.83,18278.93,27886.8,16949.67,5571.3,11137.81,48042.91,35892.96,9294.069999999949,0.0,426587.4,0.0213224709919418,0.9786775290080582,0.3234023733393723,0.3398236910598655
1961-08-01,8,1961,516751.66,171925.49,26154.82,85234.69,8761.05,18796.27,31470.5,16975.19,4451.44,8846.29,44105.54,40638.68,100030.38,0.0,416721.27999999997,0.1935753433283601,0.8064246566716399,3.824548591808317,0.3327042819756012
1961-09-01,9,1961,532641.83,136661.88,26006.78,92919.52,7972.48,22432.02,33114.93,13165.34,4885.36,9330.04,42553.19,43253.43,143600.28999999992,0.0,389041.54000000004,0.26960009881311786,0.7303999011868821,5.521648200969129,0.25657369042908257
1961-10-01,10,1961,536184.64,152325.62,24457.65,85290.09,6980.59,22298.64,33635.36,15205.16,5501.89,10247.53,44721.41,35529.35,135520.7,0.0,400663.94,0.2527500601285408,0.7472499398714592,5.5410352180197195,0.28409172631278656
1961-11-01,11,1961,544418.35,166231.62,27991.93,91302.3,7398.87,17616.76,32521.05,16728.61,4859.57,10361.98,44818.3,45158.57,124587.35999999999,0.0,419830.99,0.22884489473949582,0.7711551052605042,4.450831364611157,0.3053380180884792
1961-12-01,12,1961,546615.76,167163.73,21435.9,107096.93,7597.25,22584.9,32720.12,16638.29,5466.12,9300.42,54310.62,35297.15,102301.47999999998,0.0,444314.28,0.1871542818304397,0.8128457181695603,4.772436893249174,0.3058157891386081
1962-01-01,1,1962,458365.06,164246.4,24702.27,94155.73,8708.83,18365.57,25712.98,13619.08,4742.39,11093.06,57003.34,37349.5,36015.41000000003,0.0,422349.64999999997,0.07857363735359767,0.9214263626464023,1.457979772709149,0.35833097749640863
1962-02-01,2,1962,572172.45,151629.71,28294.28,88460.25,9128.96,18071.41,34162.81,13944.6,4412.6,9803.69,53428.18,37764.13,160835.95999999996,0.0,411336.49,0.2810970014372415,0.7189029985627585,5.684398401372997,0.2650070096873766
1962-03-01,3,1962,482779.32,153446.46,23160.42,106263.56,6804.06,22553.45,30346.07,15987.43,5362.93,10511.89,47963.32,34839.69,60379.73000000004,0.0,422399.58999999997,0.12506693534428948,0.8749330646557105,2.607022238802234,0.3178397533680606
1962-04-01,4,1962,472087.35,165660.69,26648.16,94009.67,7542.28,19450.36,29121.6,14080.45,4440.93,9761.34,56605.46,42127.82,44766.409999999974,0.0,427320.94,0.09482654004603168,0.9051734599539684,1.679906229923566,0.3509110972789252
1962-05-01,5,1962,470142.48,152157.17,21253.04,93607.41,7831.73,20479.91,31392.35,14842.45,4913.24,9141.1,49597.79,44814.17,64926.28999999998,0.0,405216.19,0.13809917793431467,0.8619008220656853,3.0549177905843106,0.32364054828655353
1962-06-01,6,1962,437719.33,150695.34,25997.06,95055.65,8764.22,21506.83,31555.16,13760.88,4548.69,8573.28,46172.64,39701.64,31089.580000000016,0.0,406629.75,0.07102628983737139,0.9289737101626286,1.1958883042928705,0.3442738980707112
1962-07-01,7,1962,487166.15,155839.44,22708.26,105890.63,7986.51,18463.91,31404.52,12774.95,5376.45,10810.14,44098.81,39101.75,71812.53000000003,0.0,415353.62,0.14740870234929093,0.8525912976507091,3.16239685471278,0.3198897131912798
1962-08-01,8,1962,502693.66,129759.83,23118.99,110450.09,7895.51,21808.5,31508.2,17195.52,5143.18,11350.12,55871.39,41351.83,88592.32999999996,0.0,414101.33,0.17623522445061265,0.8237647755493873,3.832015585455937,0.2581290362802666
1962-09-01,9,1962,549585.38,152154.24,27979.06,107309.66,7939.22,18555.15,27725.16,15619.48,5398.72,10063.9,51901.23,37295.17,124939.56,0.0,424645.82,0.22733421329366513,0.7726657867063349,4.465466674005488,0.27685277945348546
1962-10-01,10,1962,465757.27,141886.93,25301.14,89151.22,7355.03,21163.7,31857.77,13039.03,4861.4,10127.83,48736.61,36482.01,72276.61000000004,0.0,393480.66,0.15518085203479495,0.8448191479652051,2.8566542851428847,0.3046370698625917
1962-11-01,11,1962,512611.91,158798.53,27675.49,107967.84,7712.91,17035.38,28665.83,16140.64,5530.17,11360.29,48785.32,42970.19,82939.50999999995,0.0,429672.4,0.16179785990536186,0.8382021400946381,2.996857869544494,0.30978314569398124
1962-12-01,12,1962,458080.8,137373.97,24518.77,85870.74,7606.71,21074.85,29138.85,13492.7,4951.09,8882.88,51833.85,34323.6,73336.39000000001,0.0,384744.41,0.1600948784581236,0.8399051215418765,2.9910305451700885,0.2998902595349991
1963-01-01,1,1963,429065.31,156423.73,22267.75,98850.95,6920.68,19274.62,27404.94,14220.81,5391.84,9637.38,53780.15,43983.09,14892.460000000021,0.0,414172.85,0.03470907494246044,0.9652909250575396,0.6687905154315107,0.36456857814955956
1963-02-01,2,1963,427907.49,151773.86,28749.31,95498.81,8360.35,21687.4,31365.79,16144.05,5674.42,9098.08,42805.7,35828.59,16749.72000000003,0.0,411157.76999999996,0.03914332044059343,0.9608566795594066,0.5826129392322817,0.35468848652310336
1963-03-01,3,1963,509595.44,137308.4,26495.99,108006.94,7202.69,20643.48,32231.33,13265.4,5478.95,11394.16,44121.48,34308.14,103446.62,0.0,406148.82,0.20299753859649922,0.7970024614035008,3.904236829799528,0.2694458961406719
