Date,Month,Day,Year,Income,Electricity,Gas,Internet,Water,Food,Groceries,Rent,Transportation,Healthcare,Shopping,Entertainment,Dining Out,Subscription Services,Clothing,Electronics,Zakat,Investment,Emergency Fund,Retirement,Education,Travel,Gifts,Home Maintenance,Others,Total_Expenses,Savings_Rate
2023-11-24,11,24,2023,2533.6,87.73,44.9,51.35,33.64,438.51,305.44,828.96,121.91,83.75,178.61,104.08,153.67,32.59,108.05,48.39,195.94,273.38,229.54,441.41,129.58,290.71,45.56,88.61,110.54,4426.85,-0.7472568676981373
2023-02-22,2,22,2023,2511.3,67.09,56.95,62.49,44.91,436.76,304.35,951.4,142.71,102.08,226.35,104.74,171.7,30.93,108.18,40.92,178.23,274.73,166.38,357.25,126.06,273.36,52.71,94.59,94.81,4469.679999999999,-0.7798271811412412
2023-04-18,4,18,2023,3204.21,86.46,53.67,49.71,42.16,405.46,269.38,787.92,136.2,117.02,215.05,88.78,139.46,33.22,82.24,56.44,224.4,288.14,165.3,466.1,154.03,326.15,44.25,99.97,115.39,4446.900000000001,-0.38783038564888084
2023-11-26,11,26,2023,2950.62,72.48,44.93,61.47,36.2,413.53,347.74,767.81,133.16,119.9,200.76,83.64,122.83,25.32,105.1,55.84,193.77,247.62,190.53,479.38,151.75,356.53,57.22,80.46,108.83,4456.8,-0.5104622079427376
2023-12-16,12,16,2023,3461.75,88.03,55.37,56.16,36.7,345.31,240.39,871.07,163.18,118.88,220.96,100.31,126.38,31.5,113.67,50.15,175.91,284.87,172.92,472.56,175.35,350.22,51.98,99.54,84.47,4485.88,-0.29584169856286563
2023-07-05,7,5,2023,3454.47,90.61,46.15,49.39,46.05,471.51,250.28,795.52,124.15,110.42,221.27,85.14,148.52,30.6,90.6,57.45,193.85,265.42,203.14,436.79,132.07,277.41,59.9,106.0,97.52,4389.76,-0.2707477558062454
2023-09-22,9,22,2023,2941.78,71.93,41.28,48.5,40.86,414.15,240.86,866.51,123.53,82.7,162.51,93.22,150.85,27.34,99.42,50.78,217.87,345.89,206.1,358.88,148.38,288.85,41.89,106.36,94.17,4322.83,-0.46946066667119896
2023-07-30,7,30,2023,2960.43,87.33,53.47,71.62,33.57,384.42,280.72,915.74,134.92,87.61,195.89,96.88,136.71,27.0,116.93,48.86,228.91,306.04,164.05,479.89,170.16,356.28,58.53,113.95,86.65,4636.129999999999,-0.566032637150684
2023-09-06,9,6,2023,2977.63,91.67,58.05,51.95,32.03,382.47,351.18,891.24,137.11,107.86,218.44,111.33,159.71,29.84,87.6,44.35,164.68,328.29,164.88,370.18,123.01,297.21,58.39,101.25,82.28,4445.0,-0.49279796348102345
2023-09-18,9,18,2023,2496.13,69.95,51.9,64.21,35.76,339.18,346.83,718.79,155.67,104.78,193.54,103.35,151.37,35.22,88.17,54.32,179.09,287.49,213.74,368.0,138.97,330.22,41.45,98.33,119.94,4290.269999999999,-0.7187686538761997
2023-02-21,2,21,2023,2487.91,70.82,45.3,70.4,46.09,460.68,284.34,690.48,170.02,108.14,208.93,119.49,159.24,24.09,112.68,45.99,213.07,352.67,170.74,338.47,126.42,306.39,45.45,104.19,108.7,4382.789999999999,-0.761635268156806
2023-04-15,4,15,2023,3225.0,91.29,50.11,54.03,46.53,328.13,316.11,905.39,122.65,93.34,170.47,119.19,129.69,29.3,108.23,51.22,168.95,353.41,215.28,343.85,122.16,284.31,51.05,97.19,81.67,4333.55,-0.34373643410852717
2023-07-06,7,6,2023,3478.78,89.48,57.21,69.57,35.36,359.92,252.34,889.64,173.05,96.26,209.65,86.18,175.79,34.38,119.05,56.22,230.51,242.97,218.93,373.15,175.85,336.27,57.28,112.43,90.67,4542.159999999999,-0.3056761278379198
2023-12-26,12,26,2023,2529.71,91.91,57.17,53.34,45.07,393.65,276.62,894.51,133.66,80.95,175.45,93.13,171.86,35.6,91.16,52.83,191.97,357.74,202.9,470.28,126.92,356.45,43.57,118.5,90.62,4605.86,-0.820706721323788
2023-02-25,2,25,2023,3115.89,75.06,55.73,58.47,47.75,338.5,347.94,700.83,122.66,97.44,201.59,112.26,161.21,35.28,109.48,43.94,194.5,353.86,233.66,419.7,159.8,254.96,58.0,100.28,106.68,4389.580000000001,-0.4087724534563162
2023-06-17,6,17,2023,2882.88,73.46,42.55,58.09,47.05,428.37,348.34,836.96,138.06,101.92,160.03,91.48,145.79,30.96,106.19,49.3,195.37,265.64,197.85,464.19,167.76,260.36,41.7,100.62,105.32,4457.359999999999,-0.5461482961482956
2023-06-21,6,21,2023,2512.06,94.46,44.7,55.45,44.91,343.58,245.55,954.86,156.68,110.74,196.43,115.45,154.54,32.62,95.36,47.99,171.81,322.51,231.41,457.67,173.13,333.41,44.38,112.16,107.84,4647.639999999999,-0.8501309682093579
2023-08-26,8,26,2023,2460.26,71.97,56.97,58.96,44.82,426.81,358.55,830.54,177.0,115.66,209.01,108.77,150.29,33.97,101.91,57.94,219.49,296.96,180.74,359.56,158.26,331.9,50.43,105.07,90.98,4596.559999999999,-0.8683228601855081
2023-02-09,2,9,2023,3256.25,71.5,46.72,69.43,33.29,344.13,285.96,688.9,132.84,96.59,186.47,98.64,123.74,33.99,95.58,55.4,235.68,242.34,230.45,412.11,148.62,353.13,45.97,95.6,115.67,4242.749999999999,-0.3029558541266792
2023-08-03,8,3,2023,3045.86,87.51,56.0,69.55,39.81,363.67,298.28,764.43,160.13,111.93,217.93,113.62,175.17,35.77,101.36,58.14,207.35,319.56,166.72,388.58,172.01,261.81,45.2,93.09,98.19,4405.8099999999995,-0.4464913029489206
2023-06-22,6,22,2023,3313.48,76.13,55.04,67.97,36.04,333.1,242.33,812.61,179.99,94.0,212.01,111.25,159.11,33.05,117.98,43.99,161.63,258.29,170.1,427.11,153.84,266.16,53.99,110.68,86.71,4263.110000000001,-0.2865959655709407
2023-11-07,11,7,2023,3556.48,86.99,55.56,51.93,36.98,412.59,351.47,824.25,174.48,95.01,235.32,87.93,155.53,33.97,89.71,53.94,184.13,322.11,224.44,447.4,153.96,244.93,50.65,106.46,82.76,4562.500000000001,-0.2828695789094838
2023-11-28,11,28,2023,2809.48,91.19,56.45,50.53,47.37,421.69,339.44,866.34,146.13,109.35,237.24,90.8,168.49,30.46,99.34,48.71,218.48,272.21,228.14,452.92,125.2,345.8,44.88,98.59,104.41,4694.160000000001,-0.6708287654654956
2023-07-14,7,14,2023,2803.68,79.82,46.5,59.7,37.68,361.34,273.56,830.77,172.81,102.23,201.33,87.64,134.48,28.88,102.21,44.81,198.09,325.42,195.85,322.76,137.65,288.53,44.87,106.56,94.76,4278.250000000001,-0.5259409062375168
